Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,59.500000,61.000000,58.000000,58.250000,55.214169,15997600
2020-03-24,60.500000,60.750000,58.750000,59.000000,55.925079,12688600
2020-03-25,61.000000,61.750000,59.250000,60.750000,57.583874,16970700
2020-03-26,60.750000,64.750000,60.000000,64.000000,60.664494,19923800
2020-03-27,65.750000,69.250000,65.000000,66.250000,62.797230,33653000
2020-03-30,64.500000,64.500000,64.500000,64.500000,61.138435,674100
2020-03-31,64.500000,69.250000,64.500000,69.250000,65.640877,21110900
2020-04-01,68.250000,70.500000,67.750000,67.750000,64.219055,18548200
2020-04-02,67.750000,68.750000,66.750000,68.750000,65.166939,13224600
2020-04-03,69.000000,69.000000,67.000000,67.500000,63.982082,14831400
2020-04-07,71.250000,73.750000,69.750000,73.750000,69.906349,23186800
2020-04-08,73.750000,78.000000,73.000000,76.750000,72.750000,29186200
2020-04-09,73.000000,75.500000,72.750000,73.500000,73.500000,30301700
2020-04-10,73.000000,73.000000,69.250000,70.250000,70.250000,16512700
2020-04-13,69.000000,70.000000,68.250000,69.500000,69.500000,11605200
2020-04-14,70.250000,72.500000,69.750000,72.000000,72.000000,16028100
2020-04-15,71.500000,71.500000,70.000000,70.250000,70.250000,12384500
2020-04-16,69.250000,70.000000,68.500000,68.500000,68.500000,12615400
2020-04-17,70.000000,70.250000,68.000000,69.250000,69.250000,12528000
2020-04-20,68.750000,72.250000,68.750000,71.750000,71.750000,28632400
2020-04-21,70.000000,70.500000,69.250000,69.750000,69.750000,19403500
2020-04-22,68.500000,68.750000,66.500000,67.000000,67.000000,22205100
2020-04-23,67.000000,69.000000,66.750000,68.500000,68.500000,13812800
2020-04-24,68.500000,69.000000,67.000000,67.000000,67.000000,9923000
2020-04-27,67.250000,67.500000,66.000000,66.000000,66.000000,8475200
2020-04-28,65.750000,67.250000,65.000000,66.250000,66.250000,13911000
2020-04-29,66.000000,66.750000,65.250000,66.000000,66.000000,11789200
2020-04-30,66.750000,68.500000,66.500000,68.500000,68.500000,26216900
2020-05-05,67.500000,67.750000,66.500000,67.000000,67.000000,11390900
2020-05-07,67.000000,67.000000,65.250000,66.000000,66.000000,11965600
2020-05-08,66.250000,67.500000,66.000000,66.500000,66.500000,11954000
2020-05-11,67.000000,68.000000,66.750000,68.000000,68.000000,9877200
2020-05-12,67.500000,68.000000,67.250000,67.750000,67.750000,11025500
2020-05-13,67.500000,68.000000,66.750000,68.000000,68.000000,12104300
2020-05-14,67.500000,67.750000,67.000000,67.250000,67.250000,9175400
2020-05-15,67.500000,67.500000,66.250000,66.500000,66.500000,9362900
2020-05-18,67.000000,67.250000,66.500000,66.750000,66.750000,5057600
2020-05-19,68.250000,70.000000,68.250000,69.500000,69.500000,21009400
2020-05-20,70.250000,71.000000,68.750000,69.750000,69.750000,17515900
2020-05-21,70.250000,70.500000,69.000000,69.000000,69.000000,8605300
2020-05-22,68.500000,68.750000,67.000000,67.750000,67.750000,10901300
